"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"115","","","V1","C","","01:02:40:28","01:02:43:07","02:03:15:07","02:03:17:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"116","","","A1","C","","01:02:40:28","01:02:43:07","02:03:15:07","02:03:17:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"117","","","V1","C","","01:02:48:14","01:02:51:10","02:03:17:16","02:03:20:12","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"118","","","A1","C","","01:02:48:14","01:02:51:10","02:03:17:16","02:03:20:12","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"119","","","V1","C","","01:02:57:22","01:03:01:11","02:03:20:12","02:03:24:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"120","","","A1","C","","01:02:57:22","01:03:01:11","02:03:20:12","02:03:24:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"121","","","V1","C","","01:03:09:02","01:03:12:22","02:03:24:01","02:03:27:21","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"122","","","A1","C","","01:03:09:02","01:03:12:22","02:03:24:01","02:03:27:21","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"123","","","V1","C","","01:03:15:01","01:03:17:23","02:03:27:21","02:03:30:13","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"124","","","A1","C","","01:03:15:01","01:03:17:23","02:03:27:21","02:03:30:13","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"125","","","V1","C","","01:03:26:10","01:03:28:22","02:03:30:13","02:03:32:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"126","","","A1","C","","01:03:26:10","01:03:28:22","02:03:30:13","02:03:32:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"127","","","V1","C","","01:03:33:13","01:03:35:19","02:03:32:25","02:03:35:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"128","","","A1","C","","01:03:33:13","01:03:35:19","02:03:32:25","02:03:35:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"129","","","V1","C","","01:03:40:06","01:03:41:22","02:03:35:01","02:03:36:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"130","","","A1","C","","01:03:40:06","01:03:41:22","02:03:35:01","02:03:36:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"131","","","V1","C","","01:03:46:01","01:03:50:01","02:03:36:17","02:03:40:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"132","","","A1","C","","01:03:46:01","01:03:50:01","02:03:36:17","02:03:40:17","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"133","","","V1","C","","01:04:00:15","01:04:03:10","02:03:40:17","02:03:43:12","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"134","","","A1","C","","01:04:00:15","01:04:03:10","02:03:40:17","02:03:43:12","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"135","","","V1","C","","01:04:12:01","01:04:15:07","02:03:43:12","02:03:46:18","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"136","","","A1","C","","01:04:12:01","01:04:15:07","02:03:43:12","02:03:46:18","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"137","","","V1","C","","01:04:28:16","01:04:32:14","02:03:46:18","02:03:50:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"138","","","A1","C","","01:04:28:16","01:04:32:14","02:03:46:18","02:03:50:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"139","","","V1","C","","01:04:48:12","01:04:49:29","02:03:50:16","02:03:52:03","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"140","","","A1","C","","01:04:48:12","01:04:49:29","02:03:50:16","02:03:52:03","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"141","","","V1","C","","01:04:57:00","01:04:58:26","02:03:52:03","02:03:53:29","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"142","","","A1","C","","01:04:57:00","01:04:58:26","02:03:52:03","02:03:53:29","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"143","","","V1","C","","01:05:06:21","01:05:09:02","02:03:53:29","02:03:56:10","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"144","","","A1","C","","01:05:06:21","01:05:09:02","02:03:53:29","02:03:56:10","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"145","","","V1","C","","01:05:19:03","01:05:22:23","02:03:56:10","02:04:00:00","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"146","","","A1","C","","01:05:19:03","01:05:22:23","02:03:56:10","02:04:00:00","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"147","","","V1","C","","01:05:33:26","01:05:35:22","02:04:00:00","02:04:01:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"148","","","A1","C","","01:05:33:26","01:05:35:22","02:04:00:00","02:04:01:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"149","","","V1","C","","01:05:49:26","01:05:53:14","02:04:01:26","02:04:05:14","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"150","","","A1","C","","01:05:49:26","01:05:53:14","02:04:01:26","02:04:05:14","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
